hys,direction,style,x,y
beta-hys,->,scatter,0.45,0.9999999233
beta-hys,->,scatter,0.1,0.0055846006000000005
beta-hys,->,scatter,0.8,0.9993979843
beta-hys,->,scatter,0.45,0.9996384798000001
beta-hys,->,scatter,0.05,0.0414283523
beta-hys,->,scatter,0.75,0.9999522709
beta-hys,->,scatter,0.65,1.0
beta-hys,->,scatter,0.5,1.0
beta-hys,->,scatter,0.8,1.0
beta-hys,->,scatter,0.05,0.0028523387
beta-hys,->,scatter,0.1,0.0083442024
beta-hys,->,scatter,0.8,0.9999987781999999
beta-hys,->,scatter,0.05,0.0030035964
beta-hys,->,scatter,0.35,0.9969820844
beta-hys,->,scatter,1.0,0.9997974356
beta-hys,->,scatter,0.55,0.9999771281000001
beta-hys,->,scatter,0.1,0.0061387236
beta-hys,->,scatter,0.3,0.1236267445
beta-hys,->,scatter,0.65,0.9999986352
beta-hys,->,scatter,0.55,0.9999936308
beta-hys,->,scatter,0.7,1.0
beta-hys,->,scatter,0.45,0.9999921419
beta-hys,->,scatter,0.65,0.9999999895
beta-hys,->,scatter,0.7,1.0
beta-hys,->,scatter,0.55,1.0
beta-hys,->,scatter,0.35,0.9999999811
beta-hys,->,scatter,0.8,0.999998677
beta-hys,->,scatter,0.75,0.9999999997
beta-hys,->,scatter,0.75,0.9999999999
beta-hys,->,scatter,0.5,0.9993988139
beta-hys,->,scatter,0.65,0.9932465252
beta-hys,->,scatter,0.4,0.9999999998000001
beta-hys,->,scatter,0.2,0.0447246862
beta-hys,->,scatter,0.15,0.0112832829
beta-hys,->,scatter,0.05,0.005535476
beta-hys,->,scatter,0.9,0.9999840129
beta-hys,->,scatter,0.9,0.9999999992
beta-hys,->,scatter,1.0,0.9980110136
beta-hys,->,scatter,0.95,0.9998832871
beta-hys,->,scatter,0.45,0.9999999945999999
beta-hys,->,scatter,0.65,0.9999992743
beta-hys,->,scatter,0.15,0.0158731747
beta-hys,->,scatter,0.3,0.17164659670000001
beta-hys,->,scatter,0.65,0.9999999727
beta-hys,->,scatter,0.05,0.0029851867999999998
beta-hys,->,scatter,0.4,0.9999999994
beta-hys,->,scatter,0.85,0.9999146612
beta-hys,->,scatter,0.35,0.9999999987
beta-hys,->,scatter,0.15,0.028927572000000002
beta-hys,->,scatter,1.0,0.9999811420999999
beta-hys,->,scatter,0.85,1.0
beta-hys,->,scatter,0.35,1.0
beta-hys,->,scatter,0.1,0.0103167136
beta-hys,->,scatter,0.2,0.0362981921
beta-hys,->,scatter,0.65,1.0
beta-hys,->,scatter,0.15,0.016288225400000002
beta-hys,->,scatter,0.0,0.0
beta-hys,->,scatter,0.25,0.1042481068
beta-hys,->,scatter,0.95,1.0
beta-hys,->,scatter,0.3,0.2061461689
beta-hys,->,scatter,0.15,0.023263045899999998
beta-hys,->,scatter,0.15,0.0222070439
beta-hys,->,scatter,0.5,1.0
beta-hys,->,scatter,0.0,1.11171e-05
beta-hys,->,scatter,0.65,0.9999756009999999
beta-hys,->,scatter,0.95,0.9999999997
beta-hys,->,scatter,0.15,0.056180378600000004
beta-hys,->,scatter,0.5,0.9999983971999999
beta-hys,->,scatter,1.0,0.9999999951
beta-hys,->,scatter,0.6,0.9999999967000001
beta-hys,->,scatter,0.2,0.0430562838
beta-hys,->,scatter,0.5,0.9999998997
beta-hys,->,scatter,0.25,0.0754834945
beta-hys,->,scatter,0.45,0.9998805186
beta-hys,->,scatter,1.0,0.9956922779
beta-hys,->,scatter,0.25,0.0446897171
beta-hys,->,scatter,0.05,0.0016724151
beta-hys,->,scatter,0.4,1.0
beta-hys,->,scatter,0.4,0.9999999986
beta-hys,->,scatter,1.0,0.9999909987000001
