hys,direction,style,x,y
alpha-hys,->,scatter,0.33999999999999997,0.9999997206
alpha-hys,->,scatter,0.54,0.9995279879000001
alpha-hys,->,scatter,0.31999999999999995,0.9999999536
alpha-hys,->,scatter,0.64,0.9999949385
alpha-hys,->,scatter,0.75,0.9994736568000001
alpha-hys,->,scatter,0.45999999999999996,0.9999930915999999
alpha-hys,->,scatter,0.78,0.9983525051000001
alpha-hys,->,scatter,0.32999999999999996,1.0
alpha-hys,->,scatter,0.39,1.0
alpha-hys,->,scatter,0.85,0.9995430913
alpha-hys,->,scatter,0.12,0.0663455506
alpha-hys,->,scatter,0.47,1.0
alpha-hys,->,scatter,0.51,0.9999999998000001
alpha-hys,->,scatter,0.92,0.9858314382
alpha-hys,->,scatter,0.31000000000000005,0.9999948987999999
alpha-hys,->,scatter,0.71,0.9999928473999999
alpha-hys,->,scatter,0.32999999999999996,1.0
alpha-hys,->,scatter,0.39,0.9999999982
alpha-hys,->,scatter,0.09999999999999998,0.0591281421
alpha-hys,->,scatter,0.53,1.0
alpha-hys,->,scatter,0.36,0.9994928354000001
alpha-hys,->,scatter,0.38,1.0
alpha-hys,->,scatter,0.4,1.0
alpha-hys,->,scatter,0.43000000000000005,0.9999748401
alpha-hys,->,scatter,0.51,0.9999993409000001
alpha-hys,->,scatter,0.85,0.9975294609
alpha-hys,->,scatter,0.71,0.9999879045000001
alpha-hys,->,scatter,0.35,0.9999822194
alpha-hys,->,scatter,0.95,0.9935901625
alpha-hys,->,scatter,0.8200000000000001,0.9984353426000001
alpha-hys,->,scatter,0.20999999999999996,0.09537461539999999
alpha-hys,->,scatter,0.73,0.9996681426999999
alpha-hys,->,scatter,0.73,0.9999999062
alpha-hys,->,scatter,0.8,0.9998637081
alpha-hys,->,scatter,0.91,0.9824190353
alpha-hys,->,scatter,0.0,0.007311736
alpha-hys,->,scatter,0.75,0.9999978369
alpha-hys,->,scatter,0.96,0.9963474994
alpha-hys,->,scatter,0.99,0.9947632606999999
alpha-hys,->,scatter,0.56,0.9999979106
alpha-hys,->,scatter,0.52,0.9973821418000001
alpha-hys,->,scatter,0.08999999999999997,0.0370509486
alpha-hys,->,scatter,0.26,0.1839305021
alpha-hys,->,scatter,0.30000000000000004,1.0
alpha-hys,->,scatter,0.06999999999999995,0.0713050882
alpha-hys,->,scatter,0.010000000000000009,0.0029488051
alpha-hys,->,scatter,0.61,0.9999638148000001
alpha-hys,->,scatter,0.4,1.0
alpha-hys,->,scatter,0.77,0.9999003925
alpha-hys,->,scatter,0.010000000000000009,0.0299192739
alpha-hys,->,scatter,0.87,0.9953621203
alpha-hys,->,scatter,0.6599999999999999,0.9975710717
alpha-hys,->,scatter,0.29000000000000004,0.9968971588
alpha-hys,->,scatter,0.32999999999999996,0.9999973420999999
alpha-hys,->,scatter,0.78,0.9996632853
alpha-hys,->,scatter,0.6699999999999999,0.9995105801
alpha-hys,->,scatter,0.91,0.9944174328000001
alpha-hys,->,scatter,0.8200000000000001,0.9935894096
alpha-hys,->,scatter,0.5900000000000001,1.0
alpha-hys,->,scatter,0.55,0.9968893868
alpha-hys,->,scatter,0.38,0.9999999564000001
alpha-hys,->,scatter,0.41000000000000003,1.0
alpha-hys,->,scatter,0.22999999999999998,0.1275420213
alpha-hys,->,scatter,0.71,0.9973570175
alpha-hys,->,scatter,0.41000000000000003,0.9999999538
alpha-hys,->,scatter,0.6599999999999999,0.9942586286
alpha-hys,->,scatter,0.5,0.9999999931999999
alpha-hys,->,scatter,0.61,0.9999998882
alpha-hys,->,scatter,0.28,1.0
alpha-hys,->,scatter,0.92,0.9955775694
alpha-hys,->,scatter,0.25,0.175594582
alpha-hys,->,scatter,0.10999999999999999,0.036324330099999996
alpha-hys,->,scatter,0.14,0.063826123
alpha-hys,->,scatter,0.92,0.9947371425
alpha-hys,->,scatter,0.0,0.0102355865
alpha-hys,->,scatter,0.19999999999999996,0.08658443019999999
alpha-hys,->,scatter,0.63,0.9999999987999999
alpha-hys,->,scatter,0.63,0.9959229456
alpha-hys,->,scatter,0.17000000000000004,0.0804613943
alpha-hys,->,scatter,0.72,0.9965924659000001
alpha-hys,->,scatter,0.0,0.0252883031
alpha-hys,->,scatter,0.72,0.999893002
alpha-hys,->,scatter,0.49,0.9999999983
alpha-hys,->,scatter,0.15000000000000002,0.055312775599999996
alpha-hys,->,scatter,0.5700000000000001,0.9997643554000001
alpha-hys,->,scatter,0.86,0.9991100201
alpha-hys,->,scatter,0.21999999999999997,0.1528909527
alpha-hys,->,scatter,0.89,0.9992294783
alpha-hys,->,scatter,0.19999999999999996,0.1079970633
alpha-hys,->,scatter,0.0,0.0403960706
alpha-hys,->,scatter,0.92,0.9920109447
alpha-hys,->,scatter,0.92,0.9993597109000001
alpha-hys,->,scatter,0.13,0.0442109596
alpha-hys,->,scatter,0.040000000000000036,0.026853830899999997
alpha-hys,->,scatter,0.72,0.9999964302
alpha-hys,->,scatter,0.47,0.9999996823
alpha-hys,->,scatter,0.53,0.9999992517
alpha-hys,->,scatter,0.36,0.9999416757999999
alpha-hys,->,scatter,0.87,0.9934826549
alpha-hys,->,scatter,0.55,0.999999999
alpha-hys,->,scatter,0.28,1.0
alpha-hys,->,scatter,0.74,0.9980100370999999
alpha-hys,->,scatter,0.48,0.9999999999
alpha-hys,->,scatter,0.48,1.0
alpha-hys,->,scatter,0.27,0.19157522079999997
alpha-hys,->,scatter,0.35,1.0
alpha-hys,->,scatter,0.83,0.9987137206000001
alpha-hys,->,scatter,0.43000000000000005,1.0
alpha-hys,->,scatter,0.030000000000000027,0.0405489261
alpha-hys,->,scatter,0.99,0.9849851376000001
alpha-hys,->,scatter,0.24,0.117093975
alpha-hys,->,scatter,0.74,0.9993123389
alpha-hys,->,scatter,0.28,0.9999999934999999
alpha-hys,->,scatter,1.0,0.9844473898999999
alpha-hys,->,scatter,0.95,0.9971022838
alpha-hys,->,scatter,0.17000000000000004,0.058534242699999996
alpha-hys,->,scatter,0.76,0.9999997598
alpha-hys,->,scatter,0.24,0.1320543091
alpha-hys,->,scatter,0.38,0.9999999739000001
alpha-hys,->,scatter,0.95,0.9993988571
alpha-hys,->,scatter,0.5900000000000001,0.9999999926
alpha-hys,->,scatter,0.28,1.0
alpha-hys,->,scatter,0.9299999999999999,0.9847404059999999
alpha-hys,->,scatter,0.050000000000000044,0.0439721305
alpha-hys,->,scatter,0.32999999999999996,1.0
alpha-hys,->,scatter,0.47,0.9999993954
alpha-hys,->,scatter,0.8200000000000001,0.9993974224
alpha-hys,->,scatter,0.20999999999999996,0.1166814597
alpha-hys,->,scatter,0.0,0.0391643701
alpha-hys,->,scatter,0.010000000000000009,0.0341529615
alpha-hys,->,scatter,0.6699999999999999,0.9999998890999999
alpha-hys,->,scatter,0.050000000000000044,0.0190000991
alpha-hys,->,scatter,0.9299999999999999,0.9957523127
alpha-hys,->,scatter,0.21999999999999997,0.1532716377
alpha-hys,->,scatter,0.45999999999999996,0.9997195191
alpha-hys,->,scatter,0.81,0.9942200349
alpha-hys,->,scatter,0.76,0.9995304209
alpha-hys,->,scatter,0.77,0.9976710645999999
alpha-hys,->,scatter,0.0,0.0202486976
alpha-hys,->,scatter,0.28,0.9999993502
alpha-hys,->,scatter,0.09999999999999998,0.060565820599999994
alpha-hys,->,scatter,0.72,0.9999996913
alpha-hys,->,scatter,0.62,0.9999938340000001
alpha-hys,->,scatter,0.37,0.9999999997
alpha-hys,->,scatter,0.030000000000000027,0.0118121697
alpha-hys,->,scatter,0.45999999999999996,1.0
alpha-hys,->,scatter,0.83,0.999987173
alpha-hys,->,scatter,0.14,0.047409882199999996
alpha-hys,->,scatter,0.64,0.9999999999
alpha-hys,->,scatter,0.89,0.9918609451
alpha-hys,->,scatter,0.49,0.9999999993
alpha-hys,->,scatter,0.88,0.9975249545
alpha-hys,->,scatter,0.91,0.9889952121
alpha-hys,->,scatter,0.37,1.0
alpha-hys,->,scatter,0.37,1.0
alpha-hys,->,scatter,0.86,0.9983332757
alpha-hys,->,scatter,0.52,0.9999999865000001
alpha-hys,->,scatter,0.18999999999999995,0.1339427682
alpha-hys,->,scatter,0.76,0.9999025133
alpha-hys,->,scatter,0.25,0.12200276619999999
alpha-hys,->,scatter,1.0,0.9925411969
alpha-hys,->,scatter,0.4,1.0
alpha-hys,->,scatter,0.6599999999999999,0.9971684363
alpha-hys,->,scatter,0.71,0.9993093959999999
alpha-hys,->,scatter,0.56,0.9999999395999999
alpha-hys,->,scatter,0.99,0.9875775729999999
alpha-hys,->,scatter,0.6,0.9999960073999999
alpha-hys,->,scatter,0.24,0.12147622050000001
alpha-hys,->,scatter,0.42000000000000004,0.9999605912999999
alpha-hys,->,scatter,0.8200000000000001,0.9995033025
alpha-hys,->,scatter,0.07999999999999996,0.0383862624
alpha-hys,->,scatter,0.38,1.0
alpha-hys,->,scatter,0.6699999999999999,0.9999681355
alpha-hys,->,scatter,0.07999999999999996,0.0393324178
alpha-hys,->,scatter,0.86,0.9978053348999999
alpha-hys,->,scatter,0.33999999999999997,1.0
