x,y1,y2
1,0.9797958971,0
0.9,0.9797958971,0
0.8,0.9797958971,0
0.7,0.9797958971,0
0.6,0.9797958971,0
0.5,0.9797958971,0
0.4,0.9797958971,0
0.3,0.9797958971,0
0.2,0.9797958971,3.8931E-06
0.19,0.9797958971,0
0.18,0.9797958659,0.0010779101
0.17,0.9771157212,0.0307141665
0.16,0.9743302676,0.0008411705
0.15,0.9797663709,0.0174391054
0.14,0.9771278987,0.0341359753
0.13,0.9688582917,0.0467201917
0.12,0.9781718795,0.0948678372
0.11,0.9635778377,0.9342247989
0.1,0.9377594036,0.9589973677
0.09,0.9000996284,0.9007399045
0.08,0.8445318701,0.8635508343
0.07,0.7812702488,0.8383352208
0.06,0.7406802179,0.7835022419
0.05,0.7324798506,0.7341121922
0.04,0.7412713311,0.7569583077
0.03,0.7214861877,0.7364407845
0.02,0.7005910793,0.7484575202
0.01,0.7503196418,0.7281787768
0,0.7504208585,0.7418627004
