x,y1,y2
1,0.9991996797,0
0.9,0.9991996797,0
0.8,0.9991996797,0
0.7,0.9991996797,0
0.69,0.9991996797,0
0.68,0.9991996797,0
0.67,0.9991996797,0.9981983771
0.66,0.9991996797,0.9981983771
0.65,0.9991996797,0.9981983771
0.64,0.9986940268,0.9981983771
0.63,0.9991846525,0.9981904753
0.62,0.9996644466,0.9935754815
0.61,0.9997817227,0.9693192519
0.6,0.94995237615,0.93698813365
0.5,0.7862719971,0.7631580975
0.4,0.7705663432,0.7674382825
0.3,0.7736137111,0.7619140568
0.2,0.7589909651,0.7945280699
0.1,0.7781438016,0.783793836
0,0.7856578818,0.7805050309
