alpha,beta,gamma,style,x,y
.5,.5,.5,scatter,0.48,0.0
.5,.5,.5,scatter,0.49,0.0
.5,.5,.5,scatter,0.5,0.014084507042253521
.5,.5,.5,scatter,0.51,0.014084507042253521
.5,.5,.5,scatter,0.52,0.014084507042253521
.5,.5,.5,scatter,0.53,0.0
.5,.5,.5,scatter,0.54,0.014084507042253521
.5,.5,.5,scatter,0.55,0.0
.5,.5,.5,scatter,0.56,0.014492753623188406
.5,.5,.5,scatter,0.57,0.014084507042253521
.5,.5,.5,scatter,0.58,0.028169014084507043
.5,.5,.5,scatter,0.59,0.028169014084507043
.5,.5,.5,scatter,0.6,0.028169014084507043
.5,.5,.5,scatter,0.61,0.014084507042253521
.5,.5,.5,scatter,0.62,0.04225352112676056
.5,.5,.5,scatter,0.63,0.014084507042253521
.5,.5,.5,scatter,0.64,0.028169014084507043
.5,.5,.5,scatter,0.65,0.03289473684210526
.5,.5,.5,scatter,0.66,0.05063291139240506
.5,.5,.5,scatter,0.67,0.024691358024691357
.5,.5,.5,scatter,0.68,0.037037037037037035
.5,.5,.5,scatter,0.69,0.0759493670886076
.5,.5,.5,scatter,0.7,0.024691358024691357
.5,.5,.5,scatter,0.71,0.02531645569620253
.5,.5,.5,scatter,0.72,0.037037037037037035
.5,.5,.5,scatter,0.73,0.07317073170731707
.5,.5,.5,scatter,0.74,0.037037037037037035
.5,.5,.5,scatter,0.75,0.06172839506172839
.5,.5,.5,scatter,0.76,0.04938271604938271
.5,.5,.5,scatter,0.77,0.06172839506172839
.5,.5,.5,scatter,0.78,0.14814814814814814
.5,.5,.5,scatter,0.79,0.125
.5,.5,.5,scatter,0.8,0.06329113924050633
.5,.5,.5,scatter,0.81,0.06172839506172839
.5,.5,.5,scatter,0.82,0.1951219512195122
.5,.5,.5,scatter,0.83,0.13924050632911392
.5,.5,.5,scatter,0.84,0.26582278481012656
.5,.5,.5,scatter,0.85,0.1125
.5,.5,.5,scatter,0.86,0.18518518518518517
.5,.5,.5,scatter,0.87,0.19753086419753085
.5,.5,.5,scatter,0.88,0.2716049382716049
.5,.5,.5,scatter,0.89,0.25925925925925924
.5,.5,.5,scatter,0.9,0.25316455696202533
.5,.5,.5,scatter,0.91,0.18292682926829268
.5,.5,.5,scatter,0.92,0.2839506172839506
.5,.5,.5,scatter,0.93,0.375
.5,.5,.5,scatter,0.94,0.37037037037037035
.5,.5,.5,fit,0.35,0.0017388549118774936
.5,.5,.5,fit,0.36,0.0019133110834926338
.5,.5,.5,fit,0.37,0.0021047079206384595
.5,.5,.5,fit,0.38,0.002314686949686802
.5,.5,.5,fit,0.39,0.0025450480440551955
.5,.5,.5,fit,0.4,0.0027977645532577295
.5,.5,.5,fit,0.41,0.003074999847715762
.5,.5,.5,fit,0.42,0.003379125405716948
.5,.5,.5,fit,0.43,0.003712740578926431
.5,.5,.5,fit,0.44,0.004078694183390037
.5,.5,.5,fit,0.45,0.004480108073987028
.5,.5,.5,fit,0.46,0.004920402871730748
.5,.5,.5,fit,0.47,0.005403326025094041
.5,.5,.5,fit,0.48,0.005932982398535697
.5,.5,.5,fit,0.49,0.006513867593467918
.5,.5,.5,fit,0.5,0.007150904218828375
.5,.5,.5,fit,0.51,0.007849481339940945
.5,.5,.5,fit,0.52,0.008615497345132863
.5,.5,.5,fit,0.53,0.009455406479204629
.5,.5,.5,fit,0.54,0.010376269300802413
.5,.5,.5,fit,0.55,0.011385807326380273
.5,.5,.5,fit,0.56,0.012492462125977962
.5,.5,.5,fit,0.57,0.013705459134527916
.5,.5,.5,fit,0.58,0.015034876435694556
.5,.5,.5,fit,0.59,0.016491718761964067
.5,.5,.5,fit,0.6,0.01808799693320554
.5,.5,.5,fit,0.61,0.019836812924273382
.5,.5,.5,fit,0.62,0.021752450708137847
.5,.5,.5,fit,0.63,0.02385047296185154
.5,.5,.5,fit,0.64,0.026147823645301757
.5,.5,.5,fit,0.65,0.028662936363616477
.5,.5,.5,fit,0.66,0.03141584829925325
.5,.5,.5,fit,0.67,0.03442831934466119
.5,.5,.5,fit,0.68,0.037723955875915954
.5,.5,.5,fit,0.69,0.04132833837635032
.5,.5,.5,fit,0.7,0.04526915184098459
.5,.5,.5,fit,0.71,0.04957631756124411
.5,.5,.5,fit,0.72,0.0542821244986625
.5,.5,.5,fit,0.73,0.05942135799978596
.5,.5,.5,fit,0.74,0.06503142307664697
.5,.5,.5,fit,0.75,0.07115245887336019
.5,.5,.5,fit,0.76,0.07782744025678512
.5,.5,.5,fit,0.77,0.08510226170764193
.5,.5,.5,fit,0.78,0.09302579785160715
.5,.5,.5,fit,0.79,0.10164993406657466
.5,.5,.5,fit,0.8,0.11102955964807751
.5,.5,.5,fit,0.81,0.1212225150341403
.5,.5,.5,fit,0.82,0.13228948361863002
.5,.5,.5,fit,0.83,0.14429381776647549
.5,.5,.5,fit,0.84,0.15730128784791284
.5,.5,.5,fit,0.85,0.17137974251201352
.5,.5,.5,fit,0.86,0.18659866811993156
.5,.5,.5,fit,0.87,0.20302863537144644
.5,.5,.5,fit,0.88,0.22074062181683235
.5,.5,.5,fit,0.89,0.2398052002949118
.5,.5,.5,fit,0.9,0.26029158552827725
.5,.5,.5,fit,0.91,0.28226653428447224
.5,.5,.5,fit,0.92,0.30579309880465644
.5,.5,.5,fit,0.93,0.33092923869817065
.5,.5,.5,fit,0.94,0.35772630323078347
alpha, beta, gamma, style,x,y
.5,.5,.42,scatter,0.35,0.4666666666666667
.5,.5,.42,scatter,0.37,0.34
.5,.5,.42,scatter,0.39,0.4375
.5,.5,.42,scatter,0.4,0.475
.5,.5,.42,scatter,0.41,0.625
.5,.5,.42,scatter,0.43,0.34
.5,.5,.42,scatter,0.45,0.4777777777777778
.5,.5,.42,scatter,0.47,0.58
.5,.5,.42,scatter,0.49,0.66
.5,.5,.42,scatter,0.5,0.725
.5,.5,.42,scatter,0.51,0.58
.5,.5,.42,scatter,0.53,0.6666666666666666
.5,.5,.42,scatter,0.55,0.8111111111111111
.5,.5,.42,scatter,0.57,0.7
.5,.5,.42,scatter,0.59,0.68
