alpha,beta,direction,x,y
0,0.6,<-,0.9,0.9475234895
0,0.6,<-,0.95,0.97215488
alpha,beta,direction,x,y
0,0.8,->,0.0,0.9961964247
0,0.8,->,0.05,0.9842335348000001
0,0.8,->,0.1,0.9926338402
0,0.8,->,0.15,0.9928892239
0,0.8,->,0.2,0.9958928604999999
0,0.8,->,0.25,0.9795168924
0,0.8,->,0.3,0.9903683276999999
0,0.8,->,0.35,0.9814033617
0,0.8,->,0.4,0.9893735247
0,0.8,->,0.45,0.9840792097
0,0.8,->,0.5,0.9945957153
0,0.8,->,0.55,0.9957470159
0,0.8,->,0.6,0.9965784741
0,0.8,->,0.65,0.979494915
0,0.8,->,0.7,0.9776775718
0,0.8,->,0.75,0.98679682
0,0.8,->,0.8,0.9724470041
0,0.8,->,0.85,0.9815008188
0,0.8,->,0.9,0.9219025405
0,0.8,->,0.95,0.9520739128
alpha,beta,direction,x,y
0,0.8,<-,0.0,0.9845411104
0,0.8,<-,0.05,0.9948593914
0,0.8,<-,0.1,0.9900016285
0,0.8,<-,0.15,0.986684783
0,0.8,<-,0.2,0.9911079684999999
0,0.8,<-,0.25,0.9954767798
0,0.8,<-,0.3,0.985428882
0,0.8,<-,0.35,0.9815346309999999
0,0.8,<-,0.4,0.9893845266
0,0.8,<-,0.45,0.9871890086
0,0.8,<-,0.5,0.9891643489
0,0.8,<-,0.55,0.9890343514
0,0.8,<-,0.6,0.9790228816
0,0.8,<-,0.65,0.9697362115000001
0,0.8,<-,0.7,0.97137454
0,0.8,<-,0.75,0.9793878942
0,0.8,<-,0.8,0.9798125616
0,0.8,<-,0.85,0.9770476236
0,0.8,<-,0.9,0.9269495440000001
0,0.8,<-,0.95,0.9485858337
alpha,beta,direction,x,y
0,1,->,0.0,0.993998382
0,1,->,0.05,0.9883171426
0,1,->,0.1,0.9952200373000001
0,1,->,0.15,0.9990864587999999
0,1,->,0.2,0.9912888494
0,1,->,0.25,0.9919171921
0,1,->,0.3,0.9932542701
0,1,->,0.35,0.9881885945000001
0,1,->,0.4,0.9861818746
0,1,->,0.45,0.9901206483
0,1,->,0.5,0.9796992472
0,1,->,0.55,0.9909452348000001
0,1,->,0.6,0.9766581759
0,1,->,0.65,0.9933607634
0,1,->,0.7,0.9877057001999999
0,1,->,0.75,0.9668419454
0,1,->,0.8,0.9809807231000001
0,1,->,0.85,0.964663603
0,1,->,0.9,0.9224540442
0,1,->,0.95,0.9241565173999999
alpha,beta,direction,x,y
0,1,<-,0.0,0.9845468421
0,1,<-,0.05,0.9891344448999999
0,1,<-,0.1,0.9948903089
0,1,<-,0.15,0.9868476974
0,1,<-,0.2,0.9821219439
0,1,<-,0.25,0.9873114644
0,1,<-,0.3,0.9975783235
0,1,<-,0.35,0.982139766
0,1,<-,0.4,0.9840205697
0,1,<-,0.45,0.9820103059999999
0,1,<-,0.5,0.9677272376
0,1,<-,0.55,0.9864990612000001
0,1,<-,0.6,0.9883692209
0,1,<-,0.65,0.9862157975
0,1,<-,0.7,0.9923678562
0,1,<-,0.75,0.9820932840000001
0,1,<-,0.8,0.9836711562
0,1,<-,0.85,0.9767096208
0,1,<-,0.9,0.8983631209999999
0,1,<-,0.95,0.9511134427
alpha,beta,direction,x,y
0.2,0,->,0.0,0.9896984161
0.2,0,->,0.05,0.9999866708
0.2,0,->,0.1,0.9877713922
0.2,0,->,0.15,0.9966113286
0.2,0,->,0.2,0.9995624647
0.2,0,->,0.25,0.9981958566
0.2,0,->,0.3,0.9953259147
0.2,0,->,0.35,0.9969942917
0.2,0,->,0.4,0.9898265519
0.2,0,->,0.45,0.9912287911
0.2,0,->,0.5,0.9995270329000001
0.2,0,->,0.55,0.9927550328
0.2,0,->,0.6,0.9823201214
0.2,0,->,0.65,0.9992753108
0.2,0,->,0.7,0.9927202895
0.2,0,->,0.75,0.985725552
0.2,0,->,0.8,0.952616824
0.2,0,->,0.85,0.959523985
0.2,0,->,0.9,0.9018544701000001
0.2,0,->,0.95,0.9074482734
alpha,beta,direction,x,y
0.2,0,<-,0.0,0.9924847733
0.2,0,<-,0.05,0.9954508848
0.2,0,<-,0.1,0.9959780963
0.2,0,<-,0.15,0.9979295345999999
0.2,0,<-,0.2,0.9990968398000001
0.2,0,<-,0.25,0.9893152242000001
0.2,0,<-,0.3,0.99824379
0.2,0,<-,0.35,0.9923797672
0.2,0,<-,0.4,0.9896397673999999
0.2,0,<-,0.45,0.9967948604000001
0.2,0,<-,0.5,0.9923952518000001
0.2,0,<-,0.55,0.9965638812000001
0.2,0,<-,0.6,0.9910176647
0.2,0,<-,0.65,0.9926488523999999
0.2,0,<-,0.7,0.9870813598999999
0.2,0,<-,0.75,0.9445493607
0.2,0,<-,0.8,0.9398318884
0.2,0,<-,0.85,0.953850073
0.2,0,<-,0.9,0.8756590351000001
0.2,0,<-,0.95,0.8912123027
alpha,beta,direction,x,y
0.2,0.2,->,0.0,0.9999335932
0.2,0.2,->,0.05,0.9997890123000001
0.2,0.2,->,0.1,0.9973269253
0.2,0.2,->,0.15,0.9972511448
0.2,0.2,->,0.2,0.9902646208
0.2,0.2,->,0.25,0.9896113679999999
0.2,0.2,->,0.3,0.9940741825
0.2,0.2,->,0.35,0.9885717314
0.2,0.2,->,0.4,0.992886032
0.2,0.2,->,0.45,0.9913781765999999
0.2,0.2,->,0.5,0.9588553682
0.2,0.2,->,0.55,0.9798570448
0.2,0.2,->,0.6,0.98718228
0.2,0.2,->,0.65,0.9819937697
0.2,0.2,->,0.7,0.9942542114
0.2,0.2,->,0.75,0.9858650873999999
0.2,0.2,->,0.8,0.9730476728
0.2,0.2,->,0.85,0.9422995577
0.2,0.2,->,0.9,0.9558068779000001
0.2,0.2,->,0.95,0.8909597974
alpha,beta,direction,x,y
0.2,0.2,<-,0.0,0.9961865714
0.2,0.2,<-,0.05,0.9995923839
0.2,0.2,<-,0.1,0.9985623311
0.2,0.2,<-,0.15,0.9922560828
0.2,0.2,<-,0.2,0.9991624938
0.2,0.2,<-,0.25,0.9928158361
0.2,0.2,<-,0.3,0.9978715417
0.2,0.2,<-,0.35,0.9930734724
0.2,0.2,<-,0.4,0.9747839940999999
