x1,y1,x2,y2,c_p,c_r
0.0,0.0,0.0,8.005e-08,0.65,0.21
0.01,0.0,0.01,0.0,0.65,0.21
0.02,0.0,0.02,7.189e-06,0.65,0.21
0.03,9.5e-10,0.03,0.0,0.65,0.21
0.04,0.0016624392499999998,0.04,0.0,0.65,0.21
0.05,0.0,0.05,0.0,0.65,0.21
0.06,3.4951e-06,0.06,0.0,0.65,0.21
0.07,4.1705e-07,0.07,1.6219999999999998e-07,0.65,0.21
0.08,0.0,0.08,0.0,0.65,0.21
0.1,5.1292e-06,0.09,8.25e-09,0.65,0.21
0.11,3.9950000000000004e-08,0.1,5e-11,0.65,0.21
0.12,2.76e-08,0.11,0.00018929185,0.65,0.21
0.13,5.0174000000000004e-06,0.12,0.0,0.65,0.21
0.14,8.616299999999999e-06,0.13,0.00033858339999999997,0.65,0.21
0.15,3.2460000000000003e-07,0.14,1.288425e-05,0.65,0.21
0.16,3.3500000000000002e-09,0.15,1.829e-07,0.65,0.21
0.17,0.0001079841,0.16,6.6460500000000005e-06,0.65,0.21
0.18,1.0259499999999999e-06,0.17,0.00036827315,0.65,0.21
0.19,0.0011408939,0.18,1.6324999999999998e-07,0.65,0.21
0.2,0.0,0.19,4.85e-09,0.65,0.21
0.21,0.00047339355000000004,0.2,3.472e-06,0.65,0.21
0.22,1.752e-07,0.21,1.0,0.65,0.21
0.23,0.0002556984,0.22,1.0,0.65,0.21
0.24,0.0016775720000000002,0.23,1.0,0.65,0.21
0.25,1.9215e-07,0.24,1.0,0.65,0.21
0.26,6.61096e-05,0.25,1.0,0.65,0.21
0.27,2.611035e-05,0.26,1.0,0.65,0.21
0.28,0.00012200745,0.27,0.9999999999,0.65,0.21
0.29,0.0019408313500000002,0.28,1.0,0.65,0.21
0.3,0.0016695789000000002,0.29,1.0,0.65,0.21
0.31,8.832120000000001e-05,0.3,1.0,0.65,0.21
0.32,0.0010593147,0.31,1.0,0.65,0.21
0.33,0.00020928415,0.32,1.0,0.65,0.21
0.35,0.00015823985,0.33,0.99999999995,0.65,0.21
