x1,y1,x2,y2,c_p,c_r
0.0,0.0,0.0,2.2285e-06,0.65,0.21
0.01,0.0,0.01,0.0,0.65,0.21
0.02,0.0,0.02,0.00013552,0.65,0.21
0.03,6.6e-09,0.03,0.0,0.65,0.21
0.04,0.0170170987,0.04,0.0,0.65,0.21
0.05,0.0,0.05,0.0,0.65,0.21
0.06,1.33686e-05,0.06,0.0,0.65,0.21
0.07,1.48683e-05,0.07,1.7622e-06,0.65,0.21
0.08,0.0,0.08,0.0,0.65,0.21
0.1,5.18467e-05,0.09,4.71e-07,0.65,0.21
0.11,2.874e-07,0.1,6e-10,0.65,0.21
0.12,9.899e-07,0.11,0.006713894000000001,0.65,0.21
0.13,9.0915e-05,0.12,0.0,0.65,0.21
0.14,0.00018495439999999998,0.13,0.0103964665,0.65,0.21
0.15,4.00726e-05,0.14,6.465380000000001e-05,0.65,0.21
0.16,9.199999999999999e-08,0.15,7.8182e-06,0.65,0.21
0.17,0.0014453396,0.16,6.14129e-05,0.65,0.21
0.18,9.18437e-05,0.17,0.0025706546,0.65,0.21
0.19,0.011292908,0.18,2.5316e-06,0.65,0.21
0.2,1e-10,0.19,1.8661000000000002e-06,0.65,0.21
0.21,0.0058027655,0.2,1.59333e-05,0.65,0.21
0.22,1.0622e-06,0.21,1.0,0.65,0.21
0.23,0.0028919035999999997,0.22,1.0,0.65,0.21
0.24,0.0132462847,0.23,1.0,0.65,0.21
0.25,3.2244e-06,0.24,1.0,0.65,0.21
0.26,0.0003596411,0.25,1.0,0.65,0.21
0.27,0.00028682029999999996,0.26,1.0,0.65,0.21
0.28,0.0011438264999999999,0.27,0.9999999999,0.65,0.21
0.29,0.0174244145,0.28,1.0,0.65,0.21
0.3,0.0189423305,0.29,1.0,0.65,0.21
0.31,0.0012057562,0.3,1.0,0.65,0.21
0.32,0.013582806499999999,0.31,1.0,0.65,0.21
0.33,0.0015404233999999999,0.32,1.0,0.65,0.21
0.35,0.0037515064,0.33,0.9999999999,0.65,0.21
0.36,0.0049685643,0.34,1.0,0.65,0.21
0.37,0.012605372,0.35,1.0,0.65,0.21
0.38,0.0150145939,0.36,0.9999999989,0.65,0.21
0.39,0.0279893127,0.37,0.9999999829,0.65,0.21
0.4,0.0236197972,0.38,1.0,0.65,0.21
0.41,0.0152439676,0.39,1.0,0.65,0.21
0.42,0.022329665,0.4,0.9999998406999999,0.65,0.21
0.43,0.0329395225,0.41,0.9999999990999999,0.65,0.21
0.44,0.0169825615,0.42,0.9927087816,0.65,0.21
0.45,0.0356957398,0.43,1.0,0.65,0.21
0.46,0.0569297974,0.44,0.9999998173000001,0.65,0.21
0.47,0.054087705199999996,0.45,1.0,0.65,0.21
0.48,0.0276349377,0.46,1.0,0.65,0.21
0.49,0.026917280699999997,0.47,1.0,0.65,0.21
0.5,0.0771971777,0.48,1.0,0.65,0.21
0.51,0.042101280899999996,0.49,0.9999996699,0.65,0.21
0.52,0.0762569122,0.5,1.0,0.65,0.21
0.53,0.0752355606,0.51,0.9999998101,0.65,0.21
0.54,0.10292408550000001,0.52,1.0,0.65,0.21
0.55,0.0669757626,0.53,0.9999993635,0.65,0.21
0.57,0.0899595845,0.54,1.0,0.65,0.21
0.58,0.112618883,0.55,1.0,0.65,0.21
0.59,0.1227883525,0.56,1.0,0.65,0.21
0.6,0.1380682524,0.57,0.9999999999,0.65,0.21
0.61,0.112635493,0.58,1.0,0.65,0.21
0.62,0.1536235828,0.59,0.9999994823,0.65,0.21
0.63,0.2028185603,0.6,1.0,0.65,0.21
0.64,0.19172020260000003,0.61,0.9999105172,0.65,0.21
0.65,0.1619029921,0.62,1.0,0.65,0.21
0.66,1.0,0.63,1.0,0.65,0.21
0.67,1.0,0.64,0.9999999740000001,0.65,0.21
0.68,0.9999998170000001,0.65,1.0,0.65,0.21
0.69,1.0,0.66,1.0,0.65,0.21
0.7,1.0,0.67,0.988065173,0.65,0.21
0.71,1.0,0.68,1.0,0.65,0.21
0.72,0.9999999569,0.69,1.0,0.65,0.21
0.73,0.9993274714,0.7,1.0,0.65,0.21
0.74,0.9993877205,0.71,1.0,0.65,0.21
0.75,0.9999905420999999,0.72,0.9999999995000001,0.65,0.21
0.76,1.0,0.73,1.0,0.65,0.21
0.77,1.0,0.74,0.9999999909,0.65,0.21
0.78,0.9999444812999999,0.75,1.0,0.65,0.21
0.79,1.0,0.76,1.0,0.65,0.21
0.8,1.0,0.78,1.0,0.65,0.21
0.81,0.9999998581,0.79,1.0,0.65,0.21
0.82,1.0,0.8,1.0,0.65,0.21
0.83,1.0,0.81,0.9999999923999999,0.65,0.21
0.84,1.0,0.82,1.0,0.65,0.21
0.85,1.0,0.83,1.0,0.65,0.21
0.86,0.9999985879000001,0.84,1.0,0.65,0.21
0.87,1.0,0.85,1.0,0.65,0.21
0.88,0.9999999999,0.86,0.9999999927,0.65,0.21
0.89,1.0,0.87,1.0,0.65,0.21
0.9,0.9999852098,0.88,1.0,0.65,0.21
0.91,1.0,0.89,1.0,0.65,0.21
0.92,1.0,0.9,0.9999999992,0.65,0.21
0.93,0.999748713,0.91,0.9999999863,0.65,0.21
0.94,1.0,0.92,1.0,0.65,0.21
0.95,1.0,0.93,0.9999978351000001,0.65,0.21
0.96,0.9999998240000001,0.94,1.0,0.65,0.21
0.97,1.0,0.95,0.9998869015999999,0.65,0.21
0.98,1.0,0.96,0.99999978,0.65,0.21
0.99,1.0,0.97,0.9999999997,0.65,0.21
1.0,0.9999999962999999,0.98,1.0,0.65,0.21
