x1,y1,x2,y2,c_p,c_r
0.0,1.2565e-07,0.0,0.98,0.47,0.0
0.01,1.231355e-05,0.01,0.9799999426999999,0.47,0.0
0.02,1.1899999999999999e-08,0.02,0.97999999935,0.47,0.0
0.03,4.2369999999999996e-07,0.03,0.9799999822,0.47,0.0
0.04,2.4862e-06,0.04,0.9799972767499999,0.47,0.0
0.05,2.41625e-05,0.05,0.9799828029000001,0.47,0.0
0.06,2.26244e-05,0.06,0.9799996439499999,0.47,0.0
0.07,0.00013014915,0.07,0.97972533745,0.47,0.0
0.08,7.375499999999999e-07,0.08,0.9799031617499999,0.47,0.0
0.09,0.00028043425,0.09,0.97918069995,0.47,0.0
0.1,5.757745e-05,0.1,1.0,0.47,0.0
0.11,8.554550000000001e-06,0.11,0.9999999334,0.47,0.0
0.12,1.20228e-05,0.12,0.9999999978,0.47,0.0
0.13,6.474285e-05,0.13,0.9998977694,0.47,0.0
0.14,0.0001734829,0.14,0.9999999618000001,0.47,0.0
0.15,0.00046893445,0.15,1.0,0.47,0.0
0.16,0.0014937495000000001,0.16,1.0,0.47,0.0
0.17,0.0011984341,0.17,0.9999971028,0.47,0.0
0.19,0.00058577235,0.18,0.9999992556,0.47,0.0
0.2,0.0011084868,0.19,1.0,0.47,0.0
0.21,0.0005673333,0.2,1.0,0.47,0.0
0.22,0.0007442121000000001,0.21,0.9999999978,0.47,0.0
0.23,0.00038720365,0.22,0.9999990177500001,0.47,0.0
0.24,0.0007118224499999999,0.23,1.0,0.47,0.0
0.25,0.00149360715,0.24,0.9999999998000001,0.47,0.0
0.26,0.0031154834499999996,0.26,1.0,0.47,0.0
0.27,0.0014144940499999999,0.27,1.0,0.47,0.0
0.28,0.0015036846,0.28,0.99989599495,0.47,0.0
0.29,0.0006308477500000001,0.29,0.9921987944,0.47,0.0
0.3,0.0036093965,0.3,1.0,0.47,0.0
0.31,0.0033388241499999996,0.31,0.9996243066,0.47,0.0
0.32,0.0026936159499999996,0.32,0.9999892575499999,0.47,0.0
0.33,0.0041320932,0.33,1.0,0.47,0.0
0.34,0.00930862455,0.34,1.0,0.47,0.0
0.35,0.0019917488,0.35,1.0,0.47,0.0
0.36,0.006800875749999999,0.36,0.9997934315000001,0.47,0.0
0.37,0.0046168508500000005,0.37,0.9999999815,0.47,0.0
0.38,0.0028507363,0.38,1.0,0.47,0.0
0.39,0.00684214405,0.39,1.0,0.47,0.0
0.4,0.016042196499999998,0.4,0.9999995246500001,0.47,0.0
0.41,0.0065607786,0.41,0.99955958,0.47,0.0
0.42,0.016089565049999997,0.42,0.9999999999,0.47,0.0
0.43,0.0069652740000000005,0.43,0.9999999433,0.47,0.0
0.44,0.04406241245,0.44,0.9999999415999999,0.47,0.0
0.45,0.0360892416,0.45,1.0,0.47,0.0
0.46,0.0172303736,0.46,0.999842599,0.47,0.0
0.47,0.0680916516,0.47,0.9999905402500001,0.47,0.0
0.48,1.0,0.48,1.0,0.47,0.0
0.49,1.0,0.49,1.0,0.47,0.0
0.5,0.99999999995,0.5,0.9999998117,0.47,0.0
0.51,0.99999998305,0.51,0.9994859124500001,0.47,0.0
0.52,1.0,0.52,0.99999988835,0.47,0.0
0.53,1.0,0.53,0.9999999905,0.47,0.0
0.54,1.0,0.54,1.0,0.47,0.0
0.55,0.9999999787,0.55,1.0,0.47,0.0
0.56,0.9999999573,0.57,1.0,0.47,0.0
0.57,0.9999999727,0.58,0.99999977705,0.47,0.0
0.58,1.0,0.59,0.99999695785,0.47,0.0
0.59,1.0,0.6,1.0,0.47,0.0
0.6,0.9988600148000001,0.61,0.9999999739000001,0.47,0.0
0.61,0.99904577355,0.62,0.9999999702,0.47,0.0
0.62,1.0,0.63,1.0,0.47,0.0
0.63,0.99999941875,0.64,0.9998561583,0.47,0.0
0.64,1.0,0.65,0.99999999985,0.47,0.0
0.65,0.9999206233,0.66,1.0,0.47,0.0
0.66,0.99999999995,0.67,0.9983895833499999,0.47,0.0
0.67,0.99999999995,0.68,1.0,0.47,0.0
0.68,0.9998712829999999,0.69,0.99999992175,0.47,0.0
0.69,0.9999982615999999,0.7,1.0,0.47,0.0
0.7,1.0,0.71,0.9999991438500001,0.47,0.0
0.71,0.99999999985,0.72,1.0,0.47,0.0
0.72,0.99999988635,0.73,0.9959037051999999,0.47,0.0
0.73,0.99999999835,0.74,0.9999999994,0.47,0.0
0.74,1.0,0.75,1.0,0.47,0.0
0.75,0.9999999916500001,0.76,1.0,0.47,0.0
0.76,0.9982117675,0.77,1.0,0.47,0.0
0.77,0.9994208185,0.78,0.99999619065,0.47,0.0
0.78,1.0,0.79,0.9998113312000001,0.47,0.0
0.79,1.0,0.8,0.9999378803,0.47,0.0
0.8,1.0,0.81,0.99999968985,0.47,0.0
0.81,0.9999999987999999,0.82,1.0,0.47,0.0
0.82,1.0,0.83,1.0,0.47,0.0
0.83,1.0,0.84,1.0,0.47,0.0
0.84,0.99915362575,0.85,1.0,0.47,0.0
0.85,0.9999999976,0.86,0.99999525715,0.47,0.0
0.86,1.0,0.87,1.0,0.47,0.0
0.87,0.99998427085,0.88,1.0,0.47,0.0
0.88,0.99999999845,0.89,0.9972665138,0.47,0.0
0.89,0.99999954525,0.9,1.0,0.47,0.0
0.91,0.9999999999,0.91,0.99978439125,0.47,0.0
0.92,0.999999063,0.92,0.99999999675,0.47,0.0
0.93,1.0,0.93,1.0,0.47,0.0
0.94,1.0,0.94,0.9999999634000001,0.47,0.0
0.95,1.0,0.95,0.9999999989499999,0.47,0.0
0.96,0.9999999993500001,0.96,1.0,0.47,0.0
0.97,0.99999998895,0.97,1.0,0.47,0.0
0.98,0.99999539015,0.98,1.0,0.47,0.0
0.99,0.9999735604000001,0.99,1.0,0.47,0.0
1.0,0.99999999975,1.0,0.9996750589,0.47,0.0
