x1,y1,x2,y2,c_p,c_r
0.0,9.484999999999999e-07,0.0,0.99979998,0.47,0.0
0.01,0.0001646752,0.01,0.9997999231999999,0.47,0.0
0.02,1.172e-07,0.02,0.9997999793000001,0.47,0.0
0.03,2.47952e-05,0.03,0.9997999620999999,0.47,0.0
0.04,7.08688e-05,0.04,0.9997972033,0.47,0.0
0.05,0.0002924381,0.05,0.9997824398999999,0.47,0.0
0.06,0.00019261959999999998,0.06,0.9997995776,0.47,0.0
0.07,0.0010564166000000001,0.07,0.9995217873000001,0.47,0.0
0.08,1.3310399999999999e-05,0.08,0.9997012134000001,0.47,0.0
0.09,0.0043171034,0.09,0.9989806373000001,0.47,0.0
0.1,0.0016127620000000002,0.1,1.0,0.47,0.0
0.11,0.0002779455,0.11,0.9999999334,0.47,0.0
0.12,5.4538100000000006e-05,0.12,0.9999999978,0.47,0.0
0.13,0.0029644478999999997,0.13,0.9999017906000001,0.47,0.0
0.14,0.0024685497,0.14,0.9999999618000001,0.47,0.0
0.15,0.0035024883000000003,0.15,1.0,0.47,0.0
0.16,0.0130867625,0.16,1.0,0.47,0.0
0.17,0.0138160565,0.17,0.9999971028,0.47,0.0
0.19,0.0083312516,0.18,0.9999992556,0.47,0.0
0.2,0.014899161299999998,0.19,1.0,0.47,0.0
0.21,0.0042765639000000005,0.2,1.0,0.47,0.0
0.22,0.0141473326,0.21,0.9999999978,0.47,0.0
0.23,0.006618210699999999,0.22,0.9999990178,0.47,0.0
0.24,0.017442555,0.23,1.0,0.47,0.0
0.25,0.0137865456,0.24,0.9999999998000001,0.47,0.0
0.26,0.0189907169,0.26,1.0,0.47,0.0
0.27,0.0215161248,0.27,1.0,0.47,0.0
0.28,0.0289717687,0.28,0.9998962481999999,0.47,0.0
0.29,0.00514811,0.29,0.9944893313,0.47,0.0
0.3,0.0251299807,0.3,1.0,0.47,0.0
0.31,0.035416036899999996,0.31,0.9996251173999999,0.47,0.0
0.32,0.036861575099999995,0.32,0.9999892576999999,0.47,0.0
0.33,0.0323806033,0.33,1.0,0.47,0.0
0.34,0.06024310980000001,0.34,1.0,0.47,0.0
0.35,0.0316025025,0.35,1.0,0.47,0.0
0.36,0.056540863899999995,0.36,0.9997974639,0.47,0.0
0.37,0.0416325733,0.37,0.9999999815,0.47,0.0
0.38,0.0547457392,0.38,1.0,0.47,0.0
0.39,0.0857888901,0.39,1.0,0.47,0.0
0.4,0.0994733894,0.4,0.9999995247,0.47,0.0
0.41,0.075237286,0.41,0.9996549999,0.47,0.0
0.42,0.0933000206,0.42,0.9999999999,0.47,0.0
0.43,0.106240708,0.43,0.9999999433,0.47,0.0
0.44,0.1420306351,0.44,0.9999999415999999,0.47,0.0
0.45,0.13512175769999998,0.45,1.0,0.47,0.0
0.46,0.1759655302,0.46,0.9998434437,0.47,0.0
0.47,0.198266904,0.47,0.9999905404,0.47,0.0
0.48,1.0,0.48,1.0,0.47,0.0
0.49,1.0,0.49,1.0,0.47,0.0
0.5,1.0,0.5,0.9999998117,0.47,0.0
0.51,0.9999999829999999,0.51,0.9994945295000001,0.47,0.0
0.52,1.0,0.52,0.9999998884,0.47,0.0
0.53,1.0,0.53,0.9999999905,0.47,0.0
0.54,1.0,0.54,1.0,0.47,0.0
0.55,0.9999999787,0.55,1.0,0.47,0.0
0.56,0.9999999573,0.57,1.0,0.47,0.0
0.57,0.9999999727,0.58,0.9999997771,0.47,0.0
0.58,1.0,0.59,0.9999969584,0.47,0.0
0.59,1.0,0.6,1.0,0.47,0.0
0.6,0.9988994842,0.61,0.9999999739000001,0.47,0.0
0.61,0.9990593101999999,0.62,0.9999999702,0.47,0.0
0.62,1.0,0.63,1.0,0.47,0.0
0.63,0.9999994187000001,0.64,0.9998563305,0.47,0.0
0.64,1.0,0.65,0.9999999999,0.47,0.0
0.65,0.9999206415999999,0.66,1.0,0.47,0.0
0.66,1.0,0.67,0.9988789056,0.47,0.0
0.67,1.0,0.68,1.0,0.47,0.0
0.68,0.9998719761,0.69,0.9999999218000001,0.47,0.0
0.69,0.9999982615999999,0.7,1.0,0.47,0.0
0.7,1.0,0.71,0.9999991439,0.47,0.0
0.71,0.9999999999,0.72,1.0,0.47,0.0
0.72,0.9999998864,0.73,0.9973144281,0.47,0.0
0.73,0.9999999983,0.74,0.9999999994,0.47,0.0
0.74,1.0,0.75,1.0,0.47,0.0
0.75,0.9999999916,0.76,1.0,0.47,0.0
0.76,0.9982386603,0.77,1.0,0.47,0.0
0.77,0.9994253504999999,0.78,0.9999961909,0.47,0.0
0.78,1.0,0.79,0.9998114542000001,0.47,0.0
0.79,1.0,0.8,0.9999380708,0.47,0.0
0.8,1.0,0.81,0.9999996899,0.47,0.0
0.81,0.9999999987999999,0.82,1.0,0.47,0.0
0.82,1.0,0.83,1.0,0.47,0.0
0.83,1.0,0.84,1.0,0.47,0.0
0.84,0.9992678852,0.85,1.0,0.47,0.0
0.85,0.9999999976,0.86,0.999995258,0.47,0.0
0.86,1.0,0.87,1.0,0.47,0.0
0.87,0.9999842801000001,0.88,1.0,0.47,0.0
0.88,0.9999999985,0.89,0.9974782064,0.47,0.0
0.89,0.9999995452,0.9,1.0,0.47,0.0
0.91,0.9999999999,0.91,0.9997857064,0.47,0.0
0.92,0.999999063,0.92,0.9999999968000001,0.47,0.0
0.93,1.0,0.93,1.0,0.47,0.0
0.94,1.0,0.94,0.9999999634000001,0.47,0.0
0.95,1.0,0.95,0.999999999,0.47,0.0
0.96,0.9999999993,0.96,1.0,0.47,0.0
0.97,0.9999999890000001,0.97,1.0,0.47,0.0
0.98,0.9999953902,0.98,1.0,0.47,0.0
0.99,0.9999735686,0.99,1.0,0.47,0.0
1.0,0.9999999998000001,1.0,0.9996755904000001,0.47,0.0
