x1,y1,x2,y2,c_p,c_r
0.0,0.0181033268,0.0,0.00013356459999999998,0.5,0.08999999999999997
0.010000000000000009,0.006130050400000001,0.010000000000000009,2.47166e-05,0.5,0.08999999999999997
0.020000000000000018,0.0001076508,0.020000000000000018,0.00033727,0.5,0.08999999999999997
0.030000000000000027,0.0007112078,0.030000000000000027,1.1462000000000001e-06,0.5,0.08999999999999997
0.040000000000000036,1.91091e-05,0.040000000000000036,0.0206242546,0.5,0.08999999999999997
0.050000000000000044,0.0006417312,0.050000000000000044,0.0018130542000000002,0.5,0.08999999999999997
0.06000000000000005,0.008390531,0.06000000000000005,0.0169594981,0.5,0.08999999999999997
0.06999999999999995,0.0026036091,0.06999999999999995,1.61042e-05,0.5,0.08999999999999997
0.07999999999999996,0.0009326763,0.07999999999999996,0.009098024100000001,0.5,0.08999999999999997
0.08999999999999997,7.409400000000001e-06,0.08999999999999997,1.0,0.5,0.08999999999999997
0.09999999999999998,0.0014985627,0.09999999999999998,1.0,0.5,0.08999999999999997
0.10999999999999999,0.0006082504,0.10999999999999999,1.0,0.5,0.08999999999999997
0.12,0.0020533849,0.12,1.0,0.5,0.08999999999999997
0.13,0.0017009332,0.13,0.9997533276,0.5,0.08999999999999997
0.14,0.0001082812,0.14,1.0,0.5,0.08999999999999997
0.15000000000000002,0.0105122364,0.15000000000000002,1.0,0.5,0.08999999999999997
0.16000000000000003,0.0035343568,0.16000000000000003,0.9999820490000001,0.5,0.08999999999999997
0.17000000000000004,0.00048108589999999995,0.17000000000000004,1.0,0.5,0.08999999999999997
0.18000000000000005,0.013545995600000001,0.18000000000000005,1.0,0.5,0.08999999999999997
0.18999999999999995,0.0026550211,0.18999999999999995,1.0,0.5,0.08999999999999997
0.19999999999999996,0.023106055299999997,0.19999999999999996,1.0,0.5,0.08999999999999997
0.20999999999999996,0.019240054,0.20999999999999996,0.9999999178,0.5,0.08999999999999997
0.21999999999999997,0.0044666511,0.21999999999999997,1.0,0.5,0.08999999999999997
0.22999999999999998,0.0016974960000000002,0.22999999999999998,1.0,0.5,0.08999999999999997
0.24,0.0316034706,0.24,1.0,0.5,0.08999999999999997
0.25,0.0229975231,0.25,1.0,0.5,0.08999999999999997
0.26,0.017880031799999998,0.26,1.0,0.5,0.08999999999999997
0.27,0.0210056115,0.27,0.9985979117,0.5,0.08999999999999997
0.28,0.033934734300000005,0.28,1.0,0.5,0.08999999999999997
0.29000000000000004,0.0313689785,0.29000000000000004,1.0,0.5,0.08999999999999997
0.30000000000000004,0.010068451899999999,0.30000000000000004,0.9999714623999999,0.5,0.08999999999999997
0.31000000000000005,0.035651197,0.31000000000000005,1.0,0.5,0.08999999999999997
0.31999999999999995,0.0175460314,0.31999999999999995,0.9999995373,0.5,0.08999999999999997
0.32999999999999996,0.034684239900000004,0.32999999999999996,0.9999940545999999,0.5,0.08999999999999997
0.33999999999999997,0.0329966849,0.33999999999999997,1.0,0.5,0.08999999999999997
0.35,0.0675061156,0.35,1.0,0.5,0.08999999999999997
0.36,0.0219690464,0.36,1.0,0.5,0.08999999999999997
0.37,0.043005902699999994,0.37,1.0,0.5,0.08999999999999997
0.38,0.046895697300000004,0.38,1.0,0.5,0.08999999999999997
0.39,0.0948743038,0.39,0.9999992798999999,0.5,0.08999999999999997
0.4,0.052460313,0.4,0.9979668625,0.5,0.08999999999999997
0.41000000000000003,0.0551339017,0.41000000000000003,0.9999999379000001,0.5,0.08999999999999997
0.42000000000000004,0.0507131308,0.42000000000000004,0.999996005,0.5,0.08999999999999997
0.43000000000000005,0.07958116309999999,0.43000000000000005,0.9980262521,0.5,0.08999999999999997
0.43999999999999995,0.0551711331,0.43999999999999995,1.0,0.5,0.08999999999999997
0.44999999999999996,0.10405087019999999,0.44999999999999996,1.0,0.5,0.08999999999999997
0.45999999999999996,0.08907638220000001,0.45999999999999996,1.0,0.5,0.08999999999999997
0.47,0.08782145820000001,0.47,0.9998763472,0.5,0.08999999999999997
0.48,0.067815252,0.48,0.999993035,0.5,0.08999999999999997
0.49,0.1138054732,0.49,1.0,0.5,0.08999999999999997
0.5,0.1410843296,0.5,0.9999993734999999,0.5,0.08999999999999997
0.51,0.9996976162000001,0.51,1.0,0.5,0.08999999999999997
0.53,0.9962971170999999,0.52,0.9999999997,0.5,0.08999999999999997
0.54,0.9990673409,0.53,0.9999999942,0.5,0.08999999999999997
0.55,0.9999999937999999,0.54,0.9999999937999999,0.5,0.08999999999999997
0.56,0.9970492223999999,0.55,0.9999999967000001,0.5,0.08999999999999997
0.5700000000000001,0.9921472648999999,0.56,0.9960193526000001,0.5,0.08999999999999997
0.5800000000000001,1.0,0.5700000000000001,1.0,0.5,0.08999999999999997
0.5900000000000001,0.9999660218,0.5800000000000001,0.9995020907,0.5,0.08999999999999997
0.6,0.9964561175,0.5900000000000001,0.9999999904000001,0.5,0.08999999999999997
0.61,0.999999999,0.6,0.9972207625,0.5,0.08999999999999997
0.63,0.999741551,0.61,0.9999899319,0.5,0.08999999999999997
0.64,0.9999365851,0.62,0.9999999681999999,0.5,0.08999999999999997
0.65,0.9999697931,0.63,0.9999264043000001,0.5,0.08999999999999997
0.6599999999999999,0.9999940184,0.64,0.9999997249,0.5,0.08999999999999997
0.6699999999999999,0.9999928582,0.65,0.9999999318,0.5,0.08999999999999997
0.6799999999999999,0.9962485498,0.6599999999999999,0.9999331396,0.5,0.08999999999999997
0.69,0.9999649496999999,0.6799999999999999,0.9999980809000001,0.5,0.08999999999999997
